entry,exit,total_return,annualized,max_dd,trades,win_rate,calmar
双均线金叉,跌破均线,16.49,1.44,-8.15,8,50.0,0.18
双均线金叉,吊灯ATR,6.58,0.6,-13.14,8,50.0,0.05
双均线金叉,移动止盈,-19.59,-2.02,-35.25,7,14.29,-0.06
双均线金叉,唐奇安下轨,6.13,0.56,-12.56,8,37.5,0.04
双均线金叉,双均线死叉,31.79,2.62,-33.52,8,37.5,0.08
双均线金叉,跌破均线/吊灯ATR,9.48,0.85,-8.15,8,50.0,0.1
双均线金叉,跌破均线&吊灯ATR,13.41,1.19,-13.14,8,50.0,0.09
双均线金叉,跌破均线/移动止盈,16.49,1.44,-8.15,8,50.0,0.18
双均线金叉,跌破均线&移动止盈,-19.59,-2.02,-35.25,7,14.29,-0.06
双均线金叉,跌破均线/唐奇安下轨,16.49,1.44,-8.15,8,50.0,0.18
双均线金叉,跌破均线&唐奇安下轨,6.13,0.56,-12.56,8,37.5,0.04
双均线金叉,跌破均线/双均线死叉,16.49,1.44,-8.15,8,50.0,0.18
双均线金叉,跌破均线&双均线死叉,35.79,2.91,-30.74,7,42.86,0.09
双均线金叉,吊灯ATR/移动止盈,6.58,0.6,-13.14,8,50.0,0.05
双均线金叉,吊灯ATR&移动止盈,-19.59,-2.02,-35.25,7,14.29,-0.06
双均线金叉,吊灯ATR/唐奇安下轨,2.56,0.24,-12.07,8,50.0,0.02
双均线金叉,吊灯ATR&唐奇安下轨,6.98,0.63,-14.11,8,37.5,0.04
双均线金叉,吊灯ATR/双均线死叉,6.58,0.6,-13.14,8,50.0,0.05
双均线金叉,吊灯ATR&双均线死叉,31.79,2.62,-33.52,8,37.5,0.08
双均线金叉,移动止盈/唐奇安下轨,6.13,0.56,-12.56,8,37.5,0.04
双均线金叉,移动止盈&唐奇安下轨,-19.3,-1.99,-35.01,7,14.29,-0.06
双均线金叉,移动止盈/双均线死叉,-20.32,-2.11,-35.84,8,12.5,-0.06
双均线金叉,移动止盈&双均线死叉,29.39,2.45,-32.91,7,28.57,0.07
双均线金叉,唐奇安下轨/双均线死叉,6.13,0.56,-12.56,8,37.5,0.04
双均线金叉,唐奇安下轨&双均线死叉,38.39,3.09,-29.82,6,33.33,0.1
双均线金叉,跌破均线/吊灯ATR/移动止盈,9.48,0.85,-8.15,8,50.0,0.1
双均线金叉,跌破均线&吊灯ATR&移动止盈,-19.59,-2.02,-35.25,7,14.29,-0.06
双均线金叉,跌破均线/吊灯ATR/唐奇安下轨,9.48,0.85,-8.15,8,50.0,0.1
双均线金叉,跌破均线&吊灯ATR&唐奇安下轨,6.98,0.63,-14.11,8,37.5,0.04
双均线金叉,跌破均线/吊灯ATR/双均线死叉,9.48,0.85,-8.15,8,50.0,0.1
双均线金叉,跌破均线&吊灯ATR&双均线死叉,35.79,2.91,-30.74,7,42.86,0.09
双均线金叉,跌破均线/移动止盈/唐奇安下轨,16.49,1.44,-8.15,8,50.0,0.18
双均线金叉,跌破均线&移动止盈&唐奇安下轨,-19.3,-1.99,-35.01,7,14.29,-0.06
双均线金叉,跌破均线/移动止盈/双均线死叉,16.49,1.44,-8.15,8,50.0,0.18
双均线金叉,跌破均线&移动止盈&双均线死叉,26.47,2.23,-33.7,7,28.57,0.07
双均线金叉,跌破均线/唐奇安下轨/双均线死叉,16.49,1.44,-8.15,8,50.0,0.18
双均线金叉,跌破均线&唐奇安下轨&双均线死叉,38.39,3.09,-29.82,6,33.33,0.1
双均线金叉,吊灯ATR/移动止盈/唐奇安下轨,2.56,0.24,-12.07,8,50.0,0.02
双均线金叉,吊灯ATR&移动止盈&唐奇安下轨,-19.3,-1.99,-35.01,7,14.29,-0.06
双均线金叉,吊灯ATR/移动止盈/双均线死叉,6.58,0.6,-13.14,8,50.0,0.05
双均线金叉,吊灯ATR&移动止盈&双均线死叉,29.39,2.45,-32.91,7,28.57,0.07
双均线金叉,吊灯ATR/唐奇安下轨/双均线死叉,2.56,0.24,-12.07,8,50.0,0.02
双均线金叉,吊灯ATR&唐奇安下轨&双均线死叉,38.39,3.09,-29.82,6,33.33,0.1
双均线金叉,移动止盈/唐奇安下轨/双均线死叉,6.13,0.56,-12.56,8,37.5,0.04
双均线金叉,移动止盈&唐奇安下轨&双均线死叉,28.42,2.37,-31.46,6,33.33,0.08
双均线金叉,跌破均线/吊灯ATR/移动止盈/唐奇安下轨,9.48,0.85,-8.15,8,50.0,0.1
双均线金叉,跌破均线&吊灯ATR&移动止盈&唐奇安下轨,-19.3,-1.99,-35.01,7,14.29,-0.06
双均线金叉,跌破均线/吊灯ATR/移动止盈/双均线死叉,9.48,0.85,-8.15,8,50.0,0.1
双均线金叉,跌破均线&吊灯ATR&移动止盈&双均线死叉,26.47,2.23,-33.7,7,28.57,0.07
双均线金叉,跌破均线/吊灯ATR/唐奇安下轨/双均线死叉,9.48,0.85,-8.15,8,50.0,0.1
双均线金叉,跌破均线&吊灯ATR&唐奇安下轨&双均线死叉,38.39,3.09,-29.82,6,33.33,0.1
双均线金叉,跌破均线/移动止盈/唐奇安下轨/双均线死叉,16.49,1.44,-8.15,8,50.0,0.18
双均线金叉,跌破均线&移动止盈&唐奇安下轨&双均线死叉,28.42,2.37,-31.46,6,33.33,0.08
双均线金叉,吊灯ATR/移动止盈/唐奇安下轨/双均线死叉,2.56,0.24,-12.07,8,50.0,0.02
双均线金叉,吊灯ATR&移动止盈&唐奇安下轨&双均线死叉,28.42,2.37,-31.46,6,33.33,0.08
双均线金叉,跌破均线/吊灯ATR/移动止盈/唐奇安下轨/双均线死叉,9.48,0.85,-8.15,8,50.0,0.1
双均线金叉,跌破均线&吊灯ATR&移动止盈&唐奇安下轨&双均线死叉,28.42,2.37,-31.46,6,33.33,0.08
唐奇安突破,跌破均线,88.44,6.12,-27.44,53,39.62,0.22
唐奇安突破,吊灯ATR,55.42,4.22,-35.16,41,26.83,0.12
唐奇安突破,移动止盈,35.73,2.91,-40.66,20,45.0,0.07
唐奇安突破,唐奇安下轨,94.45,6.43,-36.37,42,30.95,0.18
唐奇安突破,双均线死叉,19.47,1.68,-48.66,66,48.48,0.03
唐奇安突破,跌破均线/吊灯ATR,78.39,5.58,-27.44,54,38.89,0.2
唐奇安突破,跌破均线&吊灯ATR,64.18,4.76,-35.16,40,27.5,0.14
唐奇安突破,跌破均线/移动止盈,81.33,5.74,-27.44,53,39.62,0.21
唐奇安突破,跌破均线&移动止盈,55.36,4.22,-40.66,19,47.37,0.1
唐奇安突破,跌破均线/唐奇安下轨,88.44,6.12,-27.44,53,39.62,0.22
唐奇安突破,跌破均线&唐奇安下轨,94.45,6.43,-36.37,42,30.95,0.18
唐奇安突破,跌破均线/双均线死叉,55.52,4.23,-26.63,88,47.73,0.16
唐奇安突破,跌破均线&双均线死叉,79.95,5.66,-48.66,26,34.62,0.12
唐奇安突破,吊灯ATR/移动止盈,55.42,4.22,-35.16,41,26.83,0.12
唐奇安突破,吊灯ATR&移动止盈,35.73,2.91,-40.66,20,45.0,0.07
唐奇安突破,吊灯ATR/唐奇安下轨,58.12,4.39,-34.4,47,29.79,0.13
唐奇安突破,吊灯ATR&唐奇安下轨,84.53,5.91,-38.28,36,30.56,0.15
唐奇安突破,吊灯ATR/双均线死叉,28.66,2.39,-31.66,83,40.96,0.08
唐奇安突破,吊灯ATR&双均线死叉,44.12,3.49,-54.94,25,32.0,0.06
唐奇安突破,移动止盈/唐奇安下轨,74.01,5.33,-36.37,43,30.23,0.15
唐奇安突破,移动止盈&唐奇安下轨,48.76,3.79,-41.8,19,47.37,0.09
唐奇安突破,移动止盈/双均线死叉,8.24,0.74,-45.46,74,44.59,0.02
唐奇安突破,移动止盈&双均线死叉,42.76,3.39,-51.81,15,40.0,0.07
唐奇安突破,唐奇安下轨/双均线死叉,46.38,3.64,-28.2,82,43.9,0.13
唐奇安突破,唐奇安下轨&双均线死叉,72.52,5.25,-50.41,21,23.81,0.1
唐奇安突破,跌破均线/吊灯ATR/移动止盈,78.39,5.58,-27.44,54,38.89,0.2
唐奇安突破,跌破均线&吊灯ATR&移动止盈,55.36,4.22,-40.66,19,47.37,0.1
唐奇安突破,跌破均线/吊灯ATR/唐奇安下轨,78.39,5.58,-27.44,54,38.89,0.2
唐奇安突破,跌破均线&吊灯ATR&唐奇安下轨,84.53,5.91,-38.28,36,30.56,0.15
唐奇安突破,跌破均线/吊灯ATR/双均线死叉,45.79,3.6,-26.28,89,47.19,0.14
唐奇安突破,跌破均线&吊灯ATR&双均线死叉,61.24,4.58,-54.21,22,31.82,0.08
